iter	Passed	Remaining
427	1441	1926
428	1443	1920
429	1444	1915
430	1446	1909
431	1449	1905
432	1451	1900
433	1452	1894
434	1454	1888
435	1455	1882
436	1456	1876
437	1458	1871
438	1459	1865
439	1460	1859
440	1463	1854
441	1465	1849
442	1466	1844
443	1468	1839
444	1470	1833
445	1471	1828
446	1473	1822
447	1475	1817
448	1477	1813
449	1479	1808
450	1481	1803
451	1482	1797
452	1484	1792
453	1485	1786
454	1487	1781
455	1488	1776
456	1490	1770
457	1492	1765
458	1494	1761
459	1496	1756
460	1497	1751
461	1499	1745
462	1500	1740
463	1502	1735
464	1504	1730
465	1505	1725
466	1508	1721
467	1509	1716
468	1511	1711
469	1512	1706
470	1514	1700
471	1515	1695
472	1517	1690
473	1518	1684
474	1519	1679
475	1522	1676
476	1524	1670
477	1525	1665
478	1526	1660
479	1528	1655
480	1530	1650
481	1531	1645
482	1532	1640
483	1534	1635
484	1536	1631
485	1538	1627
486	1540	1622
487	1541	1617
488	1543	1612
489	1544	1607
490	1546	1602
491	1547	1598
492	1549	1593
493	1552	1590
494	1554	1585
495	1555	1580
496	1557	1576
497	1559	1571
498	1560	1566
499	1562	1562
500	1563	1557
501	1565	1553
502	1568	1549
503	1569	1544
504	1571	1539
505	1572	1535
506	1574	1530
507	1575	1525
508	1576	1521
509	1578	1516
510	1580	1512
511	1582	1508
512	1584	1504
513	1585	1499
514	1587	1494
515	1589	1490
516	1590	1485
517	1592	1481
518	1593	1476
519	1595	1472
520	1597	1468
521	1598	1464
522	1600	1459
523	1601	1455
524	1603	1450
525	1604	1446
526	1606	1441
527	1607	1437
528	1609	1432
529	1611	1429
530	1613	1424
531	1614	1420
532	1616	1416
533	1618	1412
534	1619	1407
535	1621	1403
536	1622	1398
537	1624	1395
538	1626	1391
539	1627	1386
540	1629	1382
541	1630	1378
542	1632	1373
543	1633	1369
544	1635	1365
545	1637	1361
546	1640	1358
547	1641	1354
548	1644	1350
549	1645	1346
550	1647	1342
551	1648	1338
552	1650	1334
553	1651	1329
554	1653	1326
555	1656	1322
556	1657	1318
557	1659	1314
558	1660	1310
559	1664	1307
560	1667	1304
561	1670	1302
562	1672	1298
563	1674	1294
564	1676	1290
565	1677	1286
566	1679	1282
567	1681	1278
568	1682	1274
569	1685	1271
570	1689	1269
571	1692	1266
572	1693	1262
573	1695	1258
574	1697	1254
575	1706	1256
576	1711	1254
577	1713	1251
578	1717	1248
579	1719	1245
580	1720	1241
581	1722	1237
582	1724	1233
583	1727	1230
584	1733	1229
585	1735	1226
586	1736	1222
587	1738	1218
588	1740	1214
589	1742	1210
590	1747	1209
591	1749	1205
592	1751	1202
593	1753	1198
594	1754	1194
595	1756	1190
596	1759	1187
597	1762	1184
598	1765	1182
599	1767	1178
600	1769	1174
601	1771	1171
602	1772	1167
603	1777	1165
604	1779	1162
605	1781	1158
606	1784	1155
607	1785	1151
608	1787	1147
609	1792	1145
610	1794	1142
611	1796	1138
612	1797	1135
613	1800	1132
614	1802	1128
615	1807	1126
616	1810	1123
617	1812	1120
618	1813	1116
619	1815	1112
620	1817	1109
621	1822	1107
622	1825	1104
623	1827	1100
624	1828	1097
625	1830	1093
626	1831	1089
627	1839	1089
628	1840	1085
629	1842	1082
630	1844	1078
631	1846	1074
632	1847	1071
633	1850	1068
634	1856	1066
635	1858	1063
636	1860	1060
637	1862	1056
638	1863	1052
639	1867	1050
640	1870	1047
641	1872	1044
642	1874	1040
643	1876	1037
644	1878	1033
645	1882	1031
646	1884	1028
647	1886	1024
648	1887	1020
649	1889	1017
650	1891	1014
651	1896	1012
652	1898	1008
653	1900	1005
654	1902	1002
655	1904	998
656	1907	996
657	1915	995
658	1916	991
659	1918	988
660	1919	984
661	1921	981
662	1923	977
663	1929	976
664	1931	972
665	1933	969
666	1935	966
667	1936	962
668	1938	958
669	1942	956
670	1946	954
671	1950	952
672	1952	948
673	1954	945
674	1956	942
675	1959	938
676	1960	935
677	1963	932
678	1965	929
679	1967	925
680	1972	923
681	1974	920
682	1976	917
683	1977	913
684	1979	910
685	1981	906
686	1987	905
687	1989	902
688	1991	898
689	1993	895
690	1995	892
691	2003	891
692	2005	888
693	2007	885
694	2009	881
695	2010	878
696	2013	875
697	2016	872
698	2018	869
699	2020	865
700	2022	862
701	2023	859
702	2025	855
703	2026	852
704	2029	849
705	2031	846
706	2033	842
707	2035	839
708	2036	836
709	2038	832
710	2040	829
711	2041	825
712	2044	823
713	2046	819
714	2048	816
715	2049	813
716	2051	809
717	2052	806
718	2054	802
719	2055	799
720	2056	795
721	2060	793
722	2061	789
723	2063	786
724	2064	783
725	2066	779
726	2067	776
727	2069	773
728	2070	769
729	2072	766
730	2074	763
731	2075	760
732	2077	756
733	2080	753
734	2085	751
735	2089	749
736	2090	746
737	2092	742
738	2093	739
739	2095	736
740	2096	732
741	2097	729
742	2099	726
743	2100	722
744	2103	719
745	2104	716
746	2106	713
747	2108	710
748	2109	706
749	2111	703
750	2112	700
751	2113	697
752	2115	693
753	2117	690
754	2119	687
755	2121	684
756	2122	681
757	2123	678
758	2125	674
759	2127	671
760	2128	668
761	2129	665
762	2132	662
763	2134	659
764	2135	656
765	2137	652
766	2139	649
767	2140	646
768	2141	643
769	2143	640
770	2144	636
771	2146	633
772	2148	630
773	2150	627
774	2151	624
775	2152	621
776	2154	618
777	2155	615
778	2157	612
779	2158	608
780	2160	605
781	2162	602
782	2163	599
783	2165	596
784	2166	593
785	2168	590
786	2169	587
787	2171	584
788	2172	581
789	2174	577
790	2177	575
791	2179	572
792	2181	569
793	2183	566
794	2185	563
795	2186	560
796	2188	557
797	2190	554
798	2192	551
799	2194	548
800	2195	545
801	2197	542
802	2198	539
803	2200	536
804	2201	533
805	2203	530
